2022-03-12 19:57:33,047 [1] INFO WowsTools.WowsMain - 初始化 版本=0.0.1
2022-03-12 20:00:48,936 [1] INFO WowsTools.WowsMain - 初始化 版本=0.0.1
2022-03-12 20:01:16,202 [1] INFO WowsTools.WowsMain - 初始化 版本=0.0.1

2022-03-12 21:08:08,520 [5] INFO  WowsTools.model.WowsShipData - 游戏用户船只信息：{"status":"ok","meta":{"count":1,"hidden":null},"data":{"2023915835":[{"pvp":{"main_battery":{"max_frags_battle":1,"frags":4,"hits":634,"shots":1471},"battles":16,"damage_dealt":699654,"wins":7,"xp":23494,"frags":5,"survived_battles":3},"last_battle_time":1646237040,"account_id":2023915835,"ship_id":3760109296}]}}

2022-03-12 21:08:08,709 [5] INFO  WowsTools.model.WowsShipData - 游戏用户船只信息：{"status":"ok","meta":{"count":1,"hidden":null},"data":{"2022214870":[{"pvp":{"main_battery":{"max_frags_battle":1,"frags":2,"hits":103,"shots":534},"battles":5,"damage_dealt":179641,"wins":2,"xp":7293,"frags":3,"survived_battles":2},"last_battle_time":1642433967,"account_id":2022214870,"ship_id":4179572528}]}}

2022-03-12 21:08:08,891 [5] INFO  WowsTools.model.WowsShipData - 游戏用户船只信息：{"status":"ok","meta":{"count":1,"hidden":null},"data":{"2022771624":[{"pvp":{"main_battery":{"max_frags_battle":0,"frags":0,"hits":0,"shots":0},"battles":0,"damage_dealt":0,"wins":0,"xp":0,"frags":0,"survived_battles":0},"last_battle_time":1647089003,"account_id":2022771624,"ship_id":4179507152}]}}

2022-03-12 21:08:09,078 [5] INFO  WowsTools.model.WowsShipData - 游戏用户船只信息：{"status":"ok","meta":{"count":1,"hidden":null},"data":{"2025528770":[{"pvp":{"main_battery":{"max_frags_battle":4,"frags":10,"hits":426,"shots":1431},"battles":7,"damage_dealt":822432,"wins":4,"xp":17744,"frags":10,"survived_battles":5},"last_battle_time":1643730668,"account_id":2025528770,"ship_id":4277090288}]}}

2022-03-12 21:08:09,271 [5] INFO  WowsTools.model.WowsShipData - 游戏用户船只信息：{"status":"ok","meta":{"count":1,"hidden":null},"data":{"2024540290":[{"pvp":{"main_battery":{"max_frags_battle":3,"frags":16,"hits":1416,"shots":4548},"battles":20,"damage_dealt":2608761,"wins":10,"xp":39066,"frags":18,"survived_battles":8},"last_battle_time":1646491698,"account_id":2024540290,"ship_id":3760142160}]}}

